10.1,6.3,0.6,1.1,,,0.1,,,0.1,,,,,,,,77.6,,,4.1
,59.9,9.1,4.4,0.6,6.9,7.7,,0.8,7.4,,,,2.3,,,0.8,,,,
10.2,6.3,0.1,1.1,,,0.1,,,0.1,,,,,,,,78,,,4.1
1.3,51.6,10.6,3.4,0.5,5.8,6.6,,0.8,6.3,,,,2.1,,,0.7,9.8,,,0.5
1.7,48.6,11.4,3.3,0.5,5.5,6.2,,0.8,5.9,,,,1.8,,,0.6,13,,,0.7
,2.7,0.2,0.6,11.9,3.7,4.1,7.1,2,0.8,0.1,,,32.7,,,5.8,25.3,,1.7,1.3
,5.6,0.4,0.8,11.3,3.8,4.3,7.2,2.1,1.1,0.1,,,31.1,,,5.5,23.9,,"1,7",1.3
,4.3,0.2,0.6,11.5,3.6,4.2,7.2,2.1,1.2,0.1,,,31.4,0.1,,5.9,24.5,,1.7,1.3
,63.1,5.1,4.1,0.6,7.2,8.1,,0.6,7.8,,,,2.5,,,"0,8",,,,
10.2,6.3,0.1,1.1,,,0.1,,,0.1,,,,,,,,78,,,4.1
,5.8,0.5,0.8,11,3.8,4.2,8.4,2.4,1.1,,,,30.3,,,5.4,23.3,,"1,6",1.2
,2.7,0.2,0.6,11.7,3.6,4,8.2,2.3,0.8,0.1,,,32.2,,,5.7,24.9,,1.7,1.3
,45.9,1.8,0.3,3.3,2,7.5,,0.9,11.7,1,0.8,1.1,2.3,2.1,,11.5,7.2,,0.1,0.4
,2.8,0.1,0.7,12.2,3.8,4.2,5.2,1.5,0.8,0.1,,,33.7,,,5.9,26,,1.8,1.4
,63.1,5.1,4.1,0.6,7.2,8.1,,0.6,7.8,,,,2.5,,,0.8,,,,
10.2,6.3,0.1,1.1,,,0.1,,,0.1,,,,,,,,78,,,4.1
,44.3,1.7,0.2,3.2,2,7.3,,0.8,11.3,1.2,0.8,1.1,2.3,2.5,0.3,11.3,9.2,,0.2,0.5
,2.8,0.1,0.7,12.2,3.8,4.2,5.2,1.5,0.8,0.1,,,33.7,,,5.9,26,,1.8,1.4
,63.1,5.1,4.1,0.6,7.2,8.1,,0.6,7.8,,,,2.5,,,0.8,,,,
10.2,6.3,0.1,1.1,,,0.1,,,0.1,,,,,,,,78,,,4.1
,45.5,2.3,0.2,3.3,2,7.5,,1.1,11.6,1,0.9,1.3,2.3,2,,11.4,7.2,,0.1,0.4
,45.5,2.3,0.2,3.3,2,7.5,,1.1,11.6,1,0.9,1.3,2.3,2,,11.4,7.2,,0.1,0.4
,2.5,0.1,0.1,0.7,0.9,1.3,,0.1,0.1,4.9,,0.3,1.2,13.2,7.7,7.7,55.7,,0.6,2.9
,46.8,0.8,0.3,3.4,2.1,7.7,,0.6,11.9,1,0.6,0.8,2.3,2.1,,11.7,7.4,,0.1,0.4
,2.8,0.1,0.7,12.2,3.8,4.2,5.2,1.5,0.8,0.1,,,33.7,,,5.9,26,,1.8,1.4
,63.1,5.1,4.1,0.6,7.2,8.1,,0.6,7.8,,,,2.5,,,0.8,,,,
,2.5,0.1,0.1,0.7,0.9,1.3,,0.1,0.1,4.9,,0.3,1.2,13.2,7.8,7.8,55.7,,0.6,2.9
,46.8,0.8,0.3,3.4,2.1,7.7,,0.6,11.9,1,0.6,0.8,2.3,2.1,,11.7,7.4,,0.1,0.4
,2.8,0.1,0.7,12.2,3.8,4.2,5.2,1.5,0.8,0.1,,,33.7,,,5.9,26,,1.8,1.4
,63.1,5.1,4.1,0.6,7.2,8.1,,0.6,7.8,,,,2.5,,,0.8,,,,
10.2,6.3,0.1,1.1,,,0.1,,,0.1,,,,,,,,78,,,4.1
,2.5,0.1,0.1,0.7,"0,9",1.3,,0.1,0.1,4.9,,0.4,1.2,13.2,7.7,7.7,55.7,,0.6,2.9
,2.5,0.1,0.1,0.7,0.9,1.3,,0.1,0.1,4.9,,0.4,1.2,13.2,7.7,7.7,55.7,,0.6,2.9
31,brainstem,sensory 7.1,,,,,,,,,,,23,8,,,,,,
31,,7.1,,,,,,,14,3.8,,,,13.2,,,,,,
13.5,,48.7,,,,,,,,,,,9.8,3.3,,,,,0.4,
13.4,,48.7,,,,,,,5.8,1.6,,,,5.4,,,,,,0.6
40,,,,,,,,,,,,,30,,,,,,10,10
